wals code	name	value	description	latitude	longitude	genus	family	area
vot	Votic	1	Trochaic	59.5	30.0	Finnic	Uralic	Phonology
wah	Wahgi	2	Iambic	-5.83333333333	144.716666667	Chimbu-Wahgi	Trans-New Guinea	Phonology
wlm	Walmatjari	1	Trochaic	-19.5	125.75	Western Pama-Nyungan	Pama-Nyungan	Phonology
wam	Wambaya	1	Trochaic	-18.6666666667	135.75	Wambayan	Mirndi	Phonology
wan	Wangkumara	1	Trochaic	-27.3333333333	143.0	Central Pama-Nyungan	Pama-Nyungan	Phonology
wao	Waorani	1	Trochaic	-1.0	-76.5	Waorani	Waorani	Phonology
wra	Warao	1	Trochaic	9.33333333333	-61.6666666667	Warao	Warao	Phonology
wrd	Wardaman	1	Trochaic	-15.5	131.0	Yangmanic	Yangmanic	Phonology
war	Wari'	5	No rhythmic stress	-11.3333333333	-65.0	Chapacura-Wanham	Chapacura-Wanham	Phonology
wrl	Warlpiri	1	Trochaic	-20.0	132.333333333	Western Pama-Nyungan	Pama-Nyungan	Phonology
wrg	Warrgamay	1	Trochaic	-18.5833333333	146.083333333	Northern Pama-Nyungan	Pama-Nyungan	Phonology
wer	Weri	2	Iambic	-7.75	146.916666667	Core Goilalan	Trans-New Guinea	Phonology
wet	Wetan	4	Undetermined	-8.16666666667	128.0	Central Malayo-Polynesian	Austronesian	Phonology
wic	Wichita	3	Dual: both trochaic and iambic	33.3333333333	-97.3333333333	Northern Caddoan	Caddoan	Phonology
wch	Wichí	1	Trochaic	-22.5	-62.5833333333	Matacoan	Matacoan	Phonology
wnb	Winnebago	2	Iambic	43.5	-88.5	Mississippi Valley Siouan	Siouan	Phonology
wiy	Wiyot	5	No rhythmic stress	40.8333333333	-124.166666667	Wiyot	Algic	Phonology
woi	Woisika	5	No rhythmic stress	-8.25	124.833333333	Alor-Pantar	Greater West Bomberai	Phonology
ymd	Yamdena	5	No rhythmic stress	-7.5	131.5	Central Malayo-Polynesian	Austronesian	Phonology
yan	Yana	5	No rhythmic stress	40.5	-122.0	Yana	Hokan	Phonology
yny	Yanyuwa	1	Trochaic	-16.4166666667	137.166666667	Western Pama-Nyungan	Pama-Nyungan	Phonology
yap	Yapese	4	Undetermined	9.58333333333	138.166666667	Yapese	Austronesian	Phonology
yaq	Yaqui	1	Trochaic	27.5	-110.25	Cahita	Uto-Aztecan	Phonology
yzv	Yazva	5	No rhythmic stress	65.0	55.0	Permic	Uralic	Phonology
yel	Yelî Dnye	1	Trochaic	-11.3666666667	154.166666667	Yele	Yele	Phonology
yid	Yidiny	3	Dual: both trochaic and iambic	-17.0	145.75	Northern Pama-Nyungan	Pama-Nyungan	Phonology
yim	Yimas	1	Trochaic	-4.66666666667	143.55	Lower Sepik	Ramu-Lower Sepik	Phonology
yin	Yindjibarndi	1	Trochaic	-21.75	117.916666667	Western Pama-Nyungan	Pama-Nyungan	Phonology
yir	Yir Yoront	5	No rhythmic stress	-14.8333333333	141.833333333	Northern Pama-Nyungan	Pama-Nyungan	Phonology
yuc	Yuchi	4	Undetermined	35.75	-86.75	Yuchi	Yuchi	Phonology
ypk	Yup'ik (Central)	2	Iambic	59.5	-160.0	Eskimo	Eskimo-Aleut	Phonology
ych	Yup'ik (Chevak)	2	Iambic	61.5	-165.75	Eskimo	Eskimo-Aleut	Phonology
yun	Yup'ik (Norton Sound)	2	Iambic	64.0	-161.0	Eskimo	Eskimo-Aleut	Phonology
ysl	Yupik (St. Lawrence Island)	2	Iambic	63.5	-170.5	Eskimo	Eskimo-Aleut	Phonology
yuw	Yuwaalaraay	3	Dual: both trochaic and iambic	-29.5	148.0	Southeastern Pama-Nyungan	Pama-Nyungan	Phonology
zqc	Zoque (Copainalá)	1	Trochaic	17.0	-93.25	Mixe-Zoque	Mixe-Zoque	Phonology
zul	Zulu	1	Trochaic	-30.0	30.0	Bantu	Niger-Congo	Phonology
